Employee Name;Date;Work Hours
Joan Sutton;Jul 01 2020;8
Antonia Sandoval;Jul 01 2020;8
Celia Cantrell;Jul 01 2020;8
Lonnie Perez;Jul 01 2020;8
Marquita Young;Jul 01 2020;8
Imelda Norris;Jul 01 2020;8
Houston Mccormick;Jul 01 2020;8
Jami Keller;Jul 01 2020;8
Duane Crawford;Jul 01 2020;8
Luella Hodges;Jul 01 2020;8
Guadalupe Murray;Jul 01 2020;8
Stella Mccall;Jul 01 2020;8
Flossie Sosa;Jul 01 2020;8
Timmy Bender;Jul 01 2020;8
Giuseppe Simon;Jul 01 2020;8
Claudio Le;Jul 01 2020;8
Sterling Lutz;Jul 01 2020;8
Ross Hendrix;Jul 01 2020;8
Alva Singleton;Jul 01 2020;8
Carmen Wade;Jul 01 2020;8
Lelia Brooks;Jul 01 2020;8
Bettie Parks;Jul 01 2020;8
King Sanders;Jul 01 2020;8
Conrad Jackson;Jul 01 2020;8
Jennifer Larsen;Jul 01 2020;8
Sheri Zuniga;Jul 01 2020;8
Rodolfo Combs;Jul 01 2020;8
Bianca Wright;Jul 01 2020;8
Bryant Hammond;Jul 01 2020;8
Randal Melendez;Jul 01 2020;8
Luann Cooper;Jul 01 2020;8
Rosella Dunlap;Jul 01 2020;08.янв
Wayne Payne;Jul 01 2020;9
Jamaal Dawson;Jul 02 2020;02.авг
Mikel Swanson;Jul 02 2020;02.авг
Adan Cain;Jul 02 2020;02.авг
Jerrod Tate;Jul 02 2020;04.сен
Drew Hudson;Jul 02 2020;7
Rosella Dunlap;Jul 02 2020;07.сен
Latonya Small;Jul 02 2020;8
Wayne Payne;Jul 02 2020;8
Viola Hayes;Jul 02 2020;8
Myrna Johns;Jul 02 2020;8
Ola Potts;Jul 02 2020;8
Joan Sutton;Jul 02 2020;8
Lonnie Perez;Jul 02 2020;8
Marquita Young;Jul 02 2020;8
Jami Keller;Jul 02 2020;8
Duane Crawford;Jul 02 2020;8
Luella Hodges;Jul 02 2020;8
Stella Mccall;Jul 02 2020;8
Timmy Bender;Jul 02 2020;8
Giuseppe Simon;Jul 02 2020;8
Claudio Le;Jul 02 2020;8
Ross Hendrix;Jul 02 2020;8
Alva Singleton;Jul 02 2020;8
Lelia Brooks;Jul 02 2020;8
King Sanders;Jul 02 2020;8
Jennifer Larsen;Jul 02 2020;8
Sheri Zuniga;Jul 02 2020;8
Rodolfo Combs;Jul 02 2020;8
Bryant Hammond;Jul 02 2020;8
Isaac Nelson;Jul 02 2020;8
Heath Mcdaniel;Jul 02 2020;8
Randal Melendez;Jul 02 2020;8
Bettie Parks;Jul 02 2020;08.янв
Conrad Jackson;Jul 02 2020;08.янв
Bianca Wright;Jul 02 2020;08.янв
Luann Cooper;Jul 02 2020;08.янв
Ezekiel Harrington;Jul 02 2020;08.фев
Fannie Lara;Jul 02 2020;08.фев
Lawerence Proctor;Jul 02 2020;08.фев
Barbra Pearson;Jul 02 2020;08.фев
Antonia Sandoval;Jul 02 2020;08.фев
Celia Cantrell;Jul 02 2020;08.фев
Imelda Norris;Jul 02 2020;08.фев
Houston Mccormick;Jul 02 2020;08.фев
Guadalupe Murray;Jul 02 2020;08.фев
Flossie Sosa;Jul 02 2020;08.фев
Sterling Lutz;Jul 02 2020;08.фев
Carmen Wade;Jul 02 2020;08.фев
Jerrod Tate;Jul 03 2020;5
Drew Hudson;Jul 03 2020;06.фев
Isaac Nelson;Jul 03 2020;7
Ezekiel Harrington;Jul 03 2020;07.июл
Fannie Lara;Jul 03 2020;07.июл
Lawerence Proctor;Jul 03 2020;07.июл
Barbra Pearson;Jul 03 2020;07.июл
Antonia Sandoval;Jul 03 2020;07.июл
Celia Cantrell;Jul 03 2020;07.июл
Imelda Norris;Jul 03 2020;07.июл
Houston Mccormick;Jul 03 2020;07.июл
Guadalupe Murray;Jul 03 2020;07.июл
Flossie Sosa;Jul 03 2020;07.июл
Sterling Lutz;Jul 03 2020;07.июл
Carmen Wade;Jul 03 2020;07.июл
Latonya Small;Jul 03 2020;8
Wayne Payne;Jul 03 2020;8
Viola Hayes;Jul 03 2020;8
Myrna Johns;Jul 03 2020;8
Ola Potts;Jul 03 2020;8
Joan Sutton;Jul 03 2020;8
Lonnie Perez;Jul 03 2020;8
Marquita Young;Jul 03 2020;8
Jami Keller;Jul 03 2020;8
Duane Crawford;Jul 03 2020;8
Luella Hodges;Jul 03 2020;8
Stella Mccall;Jul 03 2020;8
Timmy Bender;Jul 03 2020;8
Giuseppe Simon;Jul 03 2020;8
Claudio Le;Jul 03 2020;8
Alva Singleton;Jul 03 2020;8
Lelia Brooks;Jul 03 2020;8
Bettie Parks;Jul 03 2020;8
King Sanders;Jul 03 2020;8
Conrad Jackson;Jul 03 2020;8
Jennifer Larsen;Jul 03 2020;8
Sheri Zuniga;Jul 03 2020;8
Rodolfo Combs;Jul 03 2020;8
Bianca Wright;Jul 03 2020;8
Bryant Hammond;Jul 03 2020;8
Heath Mcdaniel;Jul 03 2020;8
Randal Melendez;Jul 03 2020;8
Luann Cooper;Jul 03 2020;8
Rosella Dunlap;Jul 03 2020;09.авг
Isaac Nelson;Jul 04 2020;1
Jerrod Tate;Jul 04 2020;04.июл
Archie Klein;Jul 04 2020;6
Myrna Johns;Jul 04 2020;8
Lonnie Perez;Jul 04 2020;8
Marquita Young;Jul 04 2020;8
Jami Keller;Jul 04 2020;8
Duane Crawford;Jul 04 2020;8
Luella Hodges;Jul 04 2020;8
Stella Mccall;Jul 04 2020;8
Giuseppe Simon;Jul 04 2020;8
Claudio Le;Jul 04 2020;8
Ross Hendrix;Jul 04 2020;8
Alva Singleton;Jul 04 2020;8
King Sanders;Jul 04 2020;8
Sheri Zuniga;Jul 04 2020;8
Randal Melendez;Jul 04 2020;8
Latonya Small;Jul 05 2020;3
Archie Klein;Jul 05 2020;6
Myrna Johns;Jul 05 2020;8
Lonnie Perez;Jul 05 2020;8
Marquita Young;Jul 05 2020;8
Jami Keller;Jul 05 2020;8
Duane Crawford;Jul 05 2020;8
Luella Hodges;Jul 05 2020;8
Stella Mccall;Jul 05 2020;8
Giuseppe Simon;Jul 05 2020;8
Claudio Le;Jul 05 2020;8
Alva Singleton;Jul 05 2020;8
King Sanders;Jul 05 2020;8
Sheri Zuniga;Jul 05 2020;8
Randal Melendez;Jul 05 2020;8
